epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.99615,2.43856,6.31386,5.20997,2.0631,0.00102,0.5,0.0043,0.0024,0.00102,0.5,0.00429,0.00416,2.07131,4.70463,4.19095,1.94119,0.00010002,0.00010002,0.00010002
2,11.1942,1.81504,4.16287,4.60037,1.4686,0.00123,0.53448,0.15949,0.08927,0.00102,0.5,0.16511,0.14482,1.5372,3.50395,4.1752,1.44293,0.000215995,0.000215995,0.000215995
3,14.5141,1.77694,3.4619,3.68851,1.39836,0.00122,0.53448,0.26384,0.20588,0.00133,0.55172,0.2639,0.24289,1.58424,3.4932,4.00873,1.43438,0.0003312,0.0003312,0.0003312
4,17.5726,1.7629,3.39331,3.21448,1.32171,0.00137,0.55172,0.26485,0.15235,0.00137,0.55172,0.26885,0.18648,1.49557,3.06212,3.9357,1.32392,0.000445634,0.000445634,0.000445634
5,20.7839,1.58977,2.93352,2.65235,1.22346,0.00102,0.5,0.32216,0.11423,0.00133,0.55172,0.32233,0.1884,1.40223,3.31791,3.81527,1.26211,0.000559299,0.000559299,0.000559299
6,23.8079,1.38328,2.47116,2.62673,1.19217,0.00102,0.51724,0.12686,0.03478,0.00114,0.53448,0.07057,0.05563,1.41189,2.9203,3.83015,1.2718,0.000672193,0.000672193,0.000672193
7,27.0421,1.39672,2.57982,2.46468,1.18014,0.00082,0.4375,0.10696,0.08835,0.00094,0.5,0.10943,0.08455,1.47165,3.46332,3.60513,1.36765,0.000784317,0.000784317,0.000784317
8,29.983,1.3772,2.61471,2.08532,1.14856,0.00094,0.5,0.04209,0.03348,0.00083,0.4375,0.04156,0.02139,1.49142,3.57289,3.57708,1.39578,0.000895671,0.000895671,0.000895671
9,33.2624,1.39724,2.31276,2.12404,1.16378,0.00213,0.45259,0.01428,0.00388,0.00246,0.54957,0.02469,0.00635,1.78672,3.50858,3.3905,1.73995,0.00100625,0.00100625,0.00100625
10,36.3998,1.34729,2.07714,2.01741,1.16748,0.00377,0.9375,0.04992,0.03324,0.00382,0.98276,0.16239,0.09842,1.15328,2.73135,3.16692,1.17921,0.00111607,0.00111607,0.00111607
11,39.1991,1.32896,2.1278,1.79988,1.09257,0.88606,0.21514,0.51429,0.36647,1,0.27764,0.57902,0.38871,1.29879,2.61714,2.85391,1.24449,0.00122511,0.00122511,0.00122511
12,42.693,1.3378,2.20239,1.9136,1.19191,0.94881,0.55082,0.90953,0.60258,0.94881,0.55082,0.90953,0.57123,1.24624,2.51164,2.34419,1.19822,0.00133338,0.00133338,0.00133338
13,47.3176,1.31058,1.91962,1.76528,1.11448,0.94138,0.61138,0.97386,0.61373,0.91158,0.56029,0.87468,0.56962,1.2201,2.60106,2.29144,1.19046,0.00144089,0.00144089,0.00144089
14,50.168,1.27832,1.8019,1.65951,1.08108,0.79936,0.73342,0.94992,0.66857,0.81474,0.74138,0.95432,0.7059,1.19701,1.68135,2.02864,1.16971,0.00154762,0.00154762,0.00154762
15,52.9557,1.24512,1.79022,1.66781,1.0657,0.78888,0.77967,0.98479,0.70616,0.78888,0.77967,0.98479,0.68161,1.15515,1.82052,1.87592,1.11726,0.00158998,0.00158998,0.00158998
16,55.8072,1.12214,1.83598,1.46434,0.98182,0.67749,0.89653,0.9907,0.72016,0.67749,0.89653,0.9907,0.7235,1.14526,1.7623,1.68684,1.11228,0.00158448,0.00158448,0.00158448
17,58.6287,1.07481,1.4959,1.3961,1.01214,0.80198,0.71744,0.9945,0.74585,0.80198,0.71744,0.9945,0.70726,1.1389,1.76532,1.83416,1.09951,0.00157898,0.00157898,0.00157898
18,61.4868,1.1147,1.61445,1.66895,1.03145,0.92316,0.98401,0.99403,0.76598,0.92316,0.98401,0.99403,0.68462,1.07557,2.03788,1.22696,1.07653,0.00157348,0.00157348,0.00157348
19,64.5236,1.0147,1.49402,1.46274,1.02423,0.90457,0.99554,0.97764,0.72484,0.90457,0.99554,0.97764,0.68176,1.13722,1.84316,1.241,1.13969,0.00156798,0.00156798,0.00156798
