epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8834,1.20715,3.44681,3.64655,1.24418,0.00312,0.82353,0.06964,0.04735,0.00303,0.79412,0.06947,0.06589,0.96762,2.28749,3.77921,1.09472,0.00030006,0.00030006,0.00030006
2,17.028,1.08232,2.1383,2.48652,1.09178,0.00281,0.77451,0.17558,0.04538,0.00262,0.72549,0.31816,0.28903,0.90168,2.22203,3.57978,1.08668,0.000614755,0.000614755,0.000614755
3,22.9468,1.12043,2.02905,2.16063,1.08246,0.00228,0.64706,0.14693,0.06729,0.00224,0.63725,0.27826,0.23921,1.01591,2.35592,3.32392,1.07608,0.000927359,0.000927359,0.000927359
4,28.6736,1.13152,1.84668,1.86976,1.09083,0.9578,0.57556,0.89009,0.61668,0.9578,0.57556,0.87602,0.49381,0.95396,2.25792,2.54009,1.07223,0.00123787,0.00123787,0.00123787
5,34.4705,1.09112,1.69108,1.58891,1.06188,1,0.71272,0.95013,0.66933,1,0.71272,0.94487,0.60077,0.9703,1.80563,1.98128,1.08806,0.0015463,0.0015463,0.0015463
6,40.2171,0.9955,1.63827,1.40663,1.01553,0.95332,0.83057,0.96694,0.66782,0.95332,0.83057,0.97296,0.62361,1.03672,1.79602,1.81323,1.13986,0.00163949,0.00163949,0.00163949
7,45.9586,0.98362,1.55758,1.31137,1.00671,0.94816,0.71106,0.93544,0.69165,0.94816,0.71106,0.93544,0.55912,0.92345,1.79259,1.81467,1.04746,0.00163399,0.00163399,0.00163399
8,51.7788,1.01517,1.49331,1.33242,1.00232,0.88992,0.82594,0.9137,0.65339,0.88992,0.82594,0.9137,0.60526,0.97968,2.10331,1.22515,1.10162,0.00162849,0.00162849,0.00162849
9,57.3954,0.97038,1.35176,1.19573,1.0014,0.76031,0.79763,0.87988,0.61405,0.75762,0.80353,0.87533,0.56598,1.1185,1.75789,1.42938,1.16109,0.00162299,0.00162299,0.00162299
10,63.0265,0.93948,1.23741,1.13269,0.97939,0.97908,0.94992,0.99069,0.74704,0.97908,0.94992,0.99069,0.72582,0.88791,1.23377,0.74942,1.0378,0.00161749,0.00161749,0.00161749
11,68.6319,0.93048,1.27083,1.07723,0.99039,0.97279,0.95563,0.9894,0.74603,0.97279,0.95563,0.9894,0.75666,0.85228,1.14132,0.70065,1.02353,0.00161199,0.00161199,0.00161199
12,74.3311,0.93428,1.24243,1.0163,0.98618,0.95296,0.99237,0.98907,0.71277,0.95296,0.99237,0.98907,0.72869,0.87475,1.22529,0.69581,1.03307,0.00160649,0.00160649,0.00160649
13,79.9777,0.85851,1.17988,0.91501,0.95712,0.96869,0.95943,0.99106,0.75457,0.96869,0.95943,0.99106,0.74,0.78846,0.97276,0.63075,0.98043,0.00160099,0.00160099,0.00160099
14,85.9983,0.83462,1.05329,0.88363,0.92789,0.96751,0.99797,0.99452,0.76467,0.96751,0.99797,0.99452,0.74782,0.7803,1.13823,0.64319,0.97862,0.00159549,0.00159549,0.00159549
15,91.629,0.82745,1.10045,0.82092,0.95129,0.98684,0.9902,0.9949,0.79884,0.98684,0.9902,0.9949,0.77814,0.73431,1.09127,0.56583,0.95344,0.00158998,0.00158998,0.00158998
16,97.1664,0.80941,1.11805,0.78399,0.94038,0.98807,0.99567,0.99471,0.78766,0.98807,0.99567,0.99471,0.79288,0.76909,0.98017,0.60893,0.95954,0.00158448,0.00158448,0.00158448
17,102.798,0.82869,1.06242,0.7565,0.94092,0.99565,0.99717,0.995,0.78758,0.99565,0.99717,0.995,0.78707,0.72226,1.0483,0.54869,0.94788,0.00157898,0.00157898,0.00157898
18,108.559,0.80173,1.07173,0.74526,0.93826,0.98182,0.9902,0.99098,0.78559,0.99179,1,0.995,0.81464,0.70572,0.94442,0.52583,0.94549,0.00157348,0.00157348,0.00157348
19,114.16,0.77575,1.03741,0.68501,0.94328,0.98913,0.98703,0.99472,0.7855,0.98913,0.98703,0.99472,0.73955,0.72403,1.30388,0.60259,0.9481,0.00156798,0.00156798,0.00156798
20,120.037,0.71314,0.9572,0.67449,0.91397,0.9948,1,0.995,0.81126,0.9948,1,0.995,0.78391,0.69251,0.91677,0.51299,0.93299,0.00156248,0.00156248,0.00156248
21,125.743,0.77301,1.01659,0.6599,0.93256,0.98782,1,0.995,0.78647,0.98782,1,0.995,0.75594,0.74604,1.06688,0.6585,0.95274,0.00155698,0.00155698,0.00155698
