epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.892,0.67879,1.33623,2.86602,0.86145,0.00165,0.38077,0.24662,0.19137,0.00183,0.4254,0.2154,0.11171,0.60016,0.9153,4.03603,0.84601,0.00041441,0.00041441,0.00041441
2,378.754,0.61309,0.9676,1.50103,0.85058,0.0023,0.47908,0.00572,0.00513,0.00236,0.5014,0.00587,0.00453,0.58782,1.17863,3.93644,0.85901,0.000826416,0.000826416,0.000826416
3,562.671,0.61669,0.89651,1.30346,0.84818,0.84308,0.79276,0.88182,0.73325,0.81295,0.78292,0.84984,0.5732,0.60029,1.0547,2.50045,0.85667,0.00122145,0.00122145,0.00122145
4,743.705,0.59769,0.86273,1.24338,0.84312,0.93951,0.8634,0.94804,0.7714,0.90876,0.85387,0.93067,0.69643,0.60181,0.77567,1.57099,0.84227,0.00134412,0.00134412,0.00134412
5,924.866,0.58052,0.73157,1.05023,0.84054,0.9482,0.89524,0.97483,0.82717,0.9482,0.89524,0.96754,0.75194,0.53538,0.61424,1.35161,0.83442,0.00131582,0.00131582,0.00131582
6,1104.45,0.56621,0.81262,0.96422,0.83777,0.90156,0.89524,0.91105,0.76217,0.8899,0.88571,0.89686,0.67448,0.51598,0.74259,1.08593,0.83395,0.00128753,0.00128753,0.00128753
7,1288.37,0.55188,0.81141,0.91834,0.8379,0.95882,0.95278,0.98177,0.82981,0.95882,0.95278,0.98177,0.72235,0.47983,0.53361,0.88348,0.82567,0.00125923,0.00125923,0.00125923
8,1469.04,0.52263,0.70113,0.80926,0.83585,0.88469,0.94686,0.96178,0.81708,0.9405,0.85289,0.91269,0.67346,0.46121,0.58241,0.76307,0.82852,0.00123094,0.00123094,0.00123094
9,1648.49,0.52552,0.71741,0.76033,0.82631,0.97102,0.94941,0.98412,0.8396,0.94925,0.9305,0.95456,0.73062,0.47185,0.61409,0.76587,0.82127,0.00120265,0.00120265,0.00120265
10,1827.7,0.52641,0.7391,0.75245,0.82705,0.97095,0.96629,0.98684,0.82374,0.97095,0.96629,0.98908,0.74028,0.53793,0.54991,0.71875,0.8242,0.00117435,0.00117435,0.00117435
11,2004.34,0.50367,0.63943,0.69237,0.84418,0.99326,0.98095,0.98984,0.85428,0.97245,0.9619,0.9666,0.73909,0.44354,0.55025,0.61393,0.81981,0.00114606,0.00114606,0.00114606
12,2180.93,0.49123,0.62833,0.61461,0.82531,0.9739,0.97972,0.98845,0.87024,0.9548,0.96168,0.96151,0.72267,0.40161,0.55984,0.57099,0.81097,0.00111776,0.00111776,0.00111776
13,2356.35,0.46575,0.60847,0.58024,0.82406,0.94002,0.97143,0.98415,0.86584,0.92124,0.99048,0.98207,0.74383,0.39223,0.47739,0.54481,0.80895,0.00108947,0.00108947,0.00108947
14,2532.49,0.45458,0.6251,0.56546,0.81882,0.97445,0.97854,0.98691,0.877,0.96456,0.9692,0.97832,0.75639,0.37361,0.46225,0.53059,0.80855,0.00106118,0.00106118,0.00106118
15,2708.51,0.44409,0.59092,0.54281,0.814,0.96535,0.97189,0.9881,0.86987,0.94648,0.95451,0.94967,0.69989,0.4016,0.519,0.52539,0.81076,0.00103288,0.00103288,0.00103288
16,2883.92,0.44628,0.56946,0.52168,0.82048,0.99368,0.99048,0.99258,0.87149,0.99368,0.99048,0.99258,0.76994,0.39071,0.46638,0.48895,0.80689,0.00100459,0.00100459,0.00100459
17,3060.52,0.44424,0.54995,0.50944,0.82064,0.99437,0.99048,0.99417,0.88111,0.9749,0.97143,0.97661,0.77222,0.38637,0.42406,0.45185,0.81024,0.000976293,0.000976293,0.000976293
18,3236.96,0.42613,0.5337,0.48784,0.81054,0.99772,0.98683,0.99464,0.8967,0.99772,0.98683,0.99341,0.7709,0.37464,0.43126,0.4372,0.80719,0.000947999,0.000947999,0.000947999
19,3413.82,0.43742,0.56334,0.46539,0.81279,0.9762,0.98039,0.98991,0.89154,0.9762,0.98039,0.98395,0.76075,0.39963,0.42305,0.46494,0.81095,0.000919704,0.000919704,0.000919704
20,3589.96,0.41822,0.57274,0.45485,0.81053,0.97999,0.98877,0.99321,0.88483,0.96082,0.97006,0.95901,0.74431,0.38085,0.45515,0.42857,0.80909,0.00089141,0.00089141,0.00089141
21,3766.73,0.40181,0.50302,0.42911,0.80964,0.98108,1,0.99454,0.89928,0.97281,0.97766,0.98082,0.80463,0.36825,0.41189,0.40139,0.80627,0.000863116,0.000863116,0.000863116
22,3943.46,0.40654,0.53461,0.42051,0.80461,0.99302,1,0.995,0.90221,0.97919,0.98095,0.98945,0.78103,0.33417,0.40476,0.37819,0.80475,0.000834822,0.000834822,0.000834822
23,4120.39,0.38153,0.53541,0.41416,0.81006,0.99453,0.99048,0.99432,0.90613,0.97087,0.9619,0.96556,0.74112,0.32976,0.44755,0.37596,0.79995,0.000806528,0.000806528,0.000806528
24,4297.13,0.39052,0.53354,0.41924,0.81238,0.984,0.99949,0.99426,0.90194,0.9939,0.97143,0.99306,0.79911,0.34853,0.36281,0.36883,0.80315,0.000778233,0.000778233,0.000778233
25,4473.05,0.38097,0.48965,0.40366,0.80315,0.99352,0.98095,0.99435,0.92701,0.98438,0.97143,0.99251,0.79056,0.33582,0.42138,0.36745,0.79983,0.000749939,0.000749939,0.000749939
26,4649.89,0.38233,0.53408,0.39848,0.80244,0.99246,0.99888,0.995,0.91528,0.98289,0.98941,0.98958,0.79363,0.32263,0.41721,0.35044,0.79849,0.000721645,0.000721645,0.000721645
27,4829.72,0.36982,0.502,0.3756,0.80175,0.99312,1,0.995,0.91794,0.98365,0.99048,0.99079,0.78625,0.30703,0.39742,0.3512,0.79786,0.000693351,0.000693351,0.000693351
28,5007.2,0.35969,0.49226,0.36859,0.80644,0.99488,0.99048,0.99481,0.92007,0.9728,0.98962,0.98542,0.78144,0.30601,0.38513,0.33098,0.79734,0.000665057,0.000665057,0.000665057
29,5183.45,0.34286,0.45583,0.35992,0.8001,0.98209,1,0.99481,0.92291,0.97278,0.99048,0.98691,0.78983,0.30647,0.41972,0.31182,0.79602,0.000636762,0.000636762,0.000636762
30,5359.54,0.34088,0.47529,0.35944,0.80222,0.99572,1,0.995,0.92448,0.98617,0.99048,0.98876,0.77151,0.31533,0.37358,0.31901,0.79632,0.000608468,0.000608468,0.000608468
31,5536.36,0.35124,0.51183,0.36013,0.80404,0.99345,1,0.995,0.92451,0.9839,0.99048,0.98837,0.79917,0.31175,0.35072,0.3161,0.79523,0.000580174,0.000580174,0.000580174
32,5720.81,0.33931,0.46357,0.33568,0.80266,0.99398,1,0.995,0.92156,0.98443,0.99048,0.9862,0.78955,0.29367,0.4077,0.31367,0.79546,0.00055188,0.00055188,0.00055188
33,5898.62,0.33789,0.45265,0.33541,0.79945,0.99462,1,0.995,0.92453,0.98325,0.99885,0.99083,0.76294,0.29718,0.40741,0.3055,0.79418,0.000523586,0.000523586,0.000523586
34,6075.1,0.35472,0.4398,0.34162,0.80355,0.99577,1,0.995,0.91604,0.99577,1,0.995,0.80705,0.32255,0.33106,0.31666,0.79535,0.000495291,0.000495291,0.000495291
35,6252.27,0.33802,0.45483,0.3456,0.80471,0.99227,1,0.995,0.92848,0.99227,1,0.995,0.80943,0.28535,0.34183,0.29654,0.79436,0.000466997,0.000466997,0.000466997
36,6429.55,0.31279,0.43745,0.31889,0.80162,0.99624,1,0.995,0.93543,0.98667,0.99048,0.99124,0.79425,0.28651,0.36719,0.28769,0.79349,0.000438703,0.000438703,0.000438703
37,6607.59,0.31988,0.45636,0.31554,0.80013,0.99433,0.99963,0.995,0.92942,0.98478,0.99016,0.9901,0.82412,0.28411,0.33518,0.28081,0.79181,0.000410409,0.000410409,0.000410409
