epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6099,0.42117,0.3492,1.86555,0.81982,0.9932,0.51237,0.92835,0.8606,0.9932,0.51237,0.92922,0.91145,0.37992,0.18295,2.41641,0.79776,0.000548258,0.000548258,0.000548258
2,47.5779,0.44698,0.30156,1.06342,0.84795,0.99453,0.99868,0.995,0.93285,0.99453,0.99868,0.995,0.98071,0.38704,0.16072,0.96704,0.84591,0.001093,0.001093,0.001093
3,68.9978,0.45474,0.29136,0.86636,0.85976,0.97252,0.97922,0.98779,0.89977,0.97252,0.97922,0.98779,0.95752,0.47141,0.28049,0.66005,0.8572,0.00162673,0.00162673,0.00162673
4,90.4619,0.4405,0.29423,0.71292,0.85194,0.98437,0.99428,0.995,0.94263,0.98437,0.99428,0.995,0.98861,0.31406,0.15583,0.44125,0.81208,0.00161749,0.00161749,0.00161749
5,112.453,0.40177,0.24804,0.5787,0.84577,0.99755,0.99964,0.995,0.96297,0.99755,0.99964,0.995,0.98005,0.27641,0.19048,0.30988,0.79756,0.00160099,0.00160099,0.00160099
6,134.462,0.37707,0.24619,0.47171,0.82799,0.98016,0.9755,0.99473,0.96864,0.98016,0.9755,0.99473,0.98651,0.26277,0.17719,0.3486,0.79279,0.00158448,0.00158448,0.00158448
7,156.719,0.35951,0.23143,0.42573,0.82924,0.99915,1,0.995,0.97404,0.99915,1,0.995,0.98765,0.26148,0.17331,0.29554,0.79432,0.00156798,0.00156798,0.00156798
8,178.999,0.36182,0.23075,0.40909,0.83075,0.99832,1,0.995,0.97664,0.99832,1,0.995,0.98153,0.24592,0.16315,0.26608,0.7918,0.00155148,0.00155148,0.00155148
9,201.576,0.34749,0.25166,0.37809,0.83221,0.97992,0.99818,0.995,0.98162,0.97992,0.99818,0.995,0.98369,0.23937,0.16073,0.25147,0.79512,0.00153497,0.00153497,0.00153497
10,223.677,0.33373,0.22285,0.36268,0.83025,0.99052,1,0.995,0.97612,0.99052,1,0.995,0.97563,0.24595,0.14955,0.33542,0.79412,0.00151847,0.00151847,0.00151847
11,246.363,0.33424,0.25443,0.33813,0.82757,0.99919,1,0.995,0.99045,0.99919,1,0.995,0.98899,0.20787,0.14816,0.22743,0.78644,0.00150197,0.00150197,0.00150197
12,268.702,0.31207,0.22505,0.32659,0.82535,0.99906,1,0.995,0.98703,0.99906,1,0.995,0.98839,0.20303,0.13969,0.2175,0.78465,0.00148546,0.00148546,0.00148546
13,291.1,0.30318,0.21287,0.30098,0.82992,0.99899,1,0.995,0.98303,0.99899,1,0.995,0.98442,0.2375,0.14215,0.23511,0.79165,0.00146896,0.00146896,0.00146896
14,313.563,0.31704,0.22576,0.32485,0.82599,0.99929,1,0.995,0.99058,0.99929,1,0.995,0.98454,0.18875,0.14962,0.20592,0.78301,0.00145246,0.00145246,0.00145246
15,335.745,0.30659,0.21908,0.30903,0.8283,0.99927,1,0.995,0.99377,0.99927,1,0.995,0.9876,0.17548,0.14969,0.19048,0.78173,0.00143595,0.00143595,0.00143595
16,358.046,0.30565,0.24118,0.28902,0.81669,0.99925,1,0.995,0.9883,0.99925,1,0.995,0.98713,0.20087,0.16799,0.19385,0.78411,0.00141945,0.00141945,0.00141945
17,380.49,0.29913,0.21522,0.27939,0.82342,0.99914,1,0.995,0.99114,0.99914,1,0.995,0.98698,0.19478,0.13832,0.19543,0.78276,0.00140295,0.00140295,0.00140295
18,403.186,0.29,0.21618,0.26794,0.82201,0.99922,1,0.995,0.995,0.99922,1,0.995,0.98777,0.16873,0.1369,0.17185,0.77999,0.00138644,0.00138644,0.00138644
19,425.766,0.27374,0.21425,0.26341,0.80959,0.99905,1,0.995,0.995,0.99905,1,0.995,0.98898,0.19435,0.13844,0.19994,0.783,0.00136994,0.00136994,0.00136994
20,448.506,0.27188,0.21578,0.25263,0.8137,0.9987,1,0.995,0.99253,0.9987,1,0.995,0.98591,0.17487,0.13787,0.18455,0.7792,0.00135344,0.00135344,0.00135344
21,471.252,0.27376,0.20702,0.24772,0.81531,0.99618,0.9953,0.995,0.99353,0.99618,0.9953,0.995,0.98489,0.19222,0.14482,0.20677,0.78219,0.00133693,0.00133693,0.00133693
22,494.17,0.27226,0.21015,0.25049,0.82007,0.99892,1,0.995,0.99399,0.99892,1,0.995,0.98367,0.16846,0.15366,0.16623,0.77944,0.00132043,0.00132043,0.00132043
23,516.833,0.27205,0.20493,0.24118,0.80937,0.99902,1,0.995,0.995,0.99902,1,0.995,0.9911,0.15856,0.13482,0.16696,0.77694,0.00130393,0.00130393,0.00130393
24,539.587,0.27254,0.20371,0.25252,0.8204,0.99904,1,0.995,0.99331,0.99904,1,0.995,0.9861,0.16642,0.12665,0.17093,0.77826,0.00128742,0.00128742,0.00128742
25,562.505,0.26679,0.20798,0.24944,0.81705,0.99932,1,0.995,0.99353,0.99932,1,0.995,0.98676,0.17006,0.1403,0.17308,0.77831,0.00127092,0.00127092,0.00127092
26,585.54,0.26247,0.20527,0.24723,0.81338,0.99909,1,0.995,0.99306,0.99909,1,0.995,0.98743,0.17602,0.13223,0.17424,0.77964,0.00125442,0.00125442,0.00125442
27,608.581,0.26084,0.20637,0.24476,0.80967,0.99931,1,0.995,0.99305,0.99931,1,0.995,0.99019,0.1707,0.139,0.15911,0.77838,0.00123791,0.00123791,0.00123791
28,631.469,0.26881,0.21538,0.23683,0.8164,0.99936,1,0.995,0.99474,0.99936,1,0.995,0.9887,0.16588,0.13727,0.16932,0.78123,0.00122141,0.00122141,0.00122141
29,654.881,0.26015,0.21011,0.25866,0.81112,0.99928,1,0.995,0.99376,0.99928,1,0.995,0.98801,0.16163,0.12776,0.15547,0.77772,0.00120491,0.00120491,0.00120491
30,677.865,0.25768,0.20154,0.23171,0.81204,0.99915,1,0.995,0.99446,0.99915,1,0.995,0.98874,0.16796,0.1287,0.15811,0.77898,0.0011884,0.0011884,0.0011884
31,701.725,0.25923,0.20908,0.22086,0.81022,0.99923,1,0.995,0.995,0.99923,1,0.995,0.99014,0.17025,0.13995,0.16495,0.77945,0.0011719,0.0011719,0.0011719
32,725.353,0.24925,0.19455,0.22149,0.81214,0.99928,1,0.995,0.995,0.99928,1,0.995,0.98886,0.15059,0.13255,0.16215,0.77738,0.0011554,0.0011554,0.0011554
33,748.967,0.24677,0.19147,0.21228,0.8162,0.99935,1,0.995,0.995,0.99935,1,0.995,0.98448,0.17088,0.1338,0.1513,0.77786,0.00113889,0.00113889,0.00113889
